a52dec 0.7.4-10
aalib 1.4rc5-13
acl 2.2.53-1
acpi 1.7-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adobe-source-sans-pro-fonts 2.045ro+1.095it-1
adobe-source-serif-pro-fonts 3.000-1
adwaita-icon-theme 3.32.0-1
alsa-lib 1.1.9-1
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
android-tools 9.0.0_r41-1
android-udev 20190315-1
ansible 2.8.2-1
aom 1.0.0-1
apg 2.2.3-4
apr 1.7.0-1
apr-util 1.6.1-5
arandr 0.1.10-3
arc-gtk-theme 20190330-1
arc-icon-theme 20161122-2
archlinux-keyring 20190123-2
argon2 20190702-1
aribb24 1.0.3-2
aspell 0.60.7rc1-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.1-1
atk 2.32-1
atkmm 2.28.0-1
atool 0.39.0-6
attr 2.4.48-1
audiofile 0.3.6-4
audit 2.8.5-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
bash 5.0.007-1
bash-completion 2.9-1
bc 1.07.1-3
bcg729 1.0.4-4
beets 1.4.9-1
betterlockscreen-git r101.cdb603a-1
bind-tools 9.14.3-1
binutils 2.32-2
bison 3.3.2-1
blas 3.8.0-2
blueberry 1.2.5+7+g82682e9-1
blueman 2.1-1
bluez 5.50-6
bluez-hid2hci 5.50-6
bluez-libs 5.50-6
bluez-plugins 5.50-6
bluez-tools 0.2.0-4
bluez-utils 5.50-6
bmon 4.0-3
boost-libs 1.69.0-2
bridge-utils 1.6-3
brotli 1.0.7-1
btrfs-progs 5.1.1-1
bubblewrap 0.3.3-2
byobu 5.127-2
bzip2 1.0.7-2
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.45-1
ca-certificates-utils 20181109-1
cairo 1.16.0-2
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
cava 0.6.1-1
cblas 3.8.0-2
ccze 0.2.1-10
cdparanoia 10.2-7
celt 0.11.3-3
chromaprint 1.4.3-2
chromium 75.0.3770.100-1
cifs-utils 6.8-2
clucene 2.3.3.4-10
cmake 3.14.5-1
cmatrix 2.0-1
code 1.36.1-1
colord 1.4.4-2
compton-git 2:1050_6.rc2.113.g72ede42_2019.04.20-1
confuse 3.2.2-1
conky-lua 1.11.3-1
containerd 1.2.7-1
coreutils 8.31-1
cower 18-1
cowsay 3.04-1
cpio 2.12-4
cracklib 2.9.7-1
cryptsetup 2.1.0-1
ctags 1:r20190522+g3fdf28bc-1
cuetools 1.4.1-3
curl 7.65.1-3
d-feet 0.3.14-1
db 5.3.28-4
dbus 1.12.16-1
dbus-glib 0.110-1
dconf 0.32.0-3
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.185-1
dhclient 4.4.1-4
dhcpcd 7.2.2-1
dialog 1:1.3_20190211-1
diffutils 3.7-1
djvulibre 3.5.27-4
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-4
dnssec-anchors 20190629-1
docker 1:18.09.7-1
docker-compose 1.24.1-1
dos2unix 7.4.0-1
dosfstools 4.1-2
dotconf 1.3-5
double-conversion 3.1.5-1
dunst 1.4.1-1
e2fsprogs 1.45.2-1
efibootmgr 16-1
efivar 37-1
electron4 4.2.8-1
elfutils 0.176-1
elinks 0.13-21
enca 1.19-2
enchant 2.2.4-1
evince 3.32.0+26+gd3aecce7-2
exo 0.12.6-1
expac 9-1
expat 2.2.7-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
fbreader 0.99.4-8
feh 3.2-1
fff-git r527.e597e8e-1
ffmpeg 1:4.1.3-1
fftw 3.3.8-1
file 5.37-2
file-roller 3.32.1-1
filesystem 2019.05-2
findutils 4.6.0-4
firefox 68.0-1
flac 1.3.2-2
flex 2.6.4-2
fluidsynth 2.0.5-1
fontconfig 2:2.13.1+12+g5f5ec56-1
fortune-mod 2.6.2-1
freeglut 3.0.0-2
freetype2 2.10.1-1
fribidi 1.0.5-1
fuse-common 3.6.1-1
fuse2 2.9.9-1
gawk 4.2.1-2
gc 7.6.8-1
gcc 9.1.0-2
gcc-libs 9.1.0-2
gcolor2 0.4-8
gconf 3.2.6+11+g07808097-4
gcr 3.28.1-1
gdbm 1.18.1-2
gdk-pixbuf2 2.38.1-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.19.8.1-3
ghostscript 9.27-1
giblib 1.2.4-7
giflib 5.1.9-3
girara 0.3.2-1
git 2.22.0-1
glew1.10 1.10.0-2
glib-networking 2.60.3-1
glib2 2.60.5-1
glibc 2.29-3
glibmm 2.60.0-1
glslang 7.11.3214-1
glu 9.0.0-5
gmp 6.1.2-2
gnome-bluetooth 3.32.1-1
gnome-desktop 1:3.32.2-1
gnome-keyring 1:3.31.91-1
gnome-themes-extra 3.28-1
gnu-free-fonts 20120503-6
gnu-netcat 0.7.1-7
gnupg 2.2.16-1
gnutls 3.6.8-3
go 2:1.12.7-1
gobject-introspection-runtime 1.60.2-1
gperf 3.1-2
gperftools 2.7-1
gpgme 1.13.1-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
gradle 5.5-1
graphene 1.8.6-1
graphite 1:1.3.13-1
grep 3.3-1
groff 1.22.4-1
grub 2:2.04-1
gsettings-desktop-schemas 3.32.0-2
gsfonts 20180524-2
gsm 1.0.18-1
gspell 1.8.1-1
gssdp 1.2.1-1
gst-editing-services 1.16.0-1
gst-libav 1.16.0-1
gst-plugins-bad 1.16.0-4
gst-plugins-base 1.16.0-3
gst-plugins-base-libs 1.16.0-3
gst-plugins-good 1.16.0-1
gst-plugins-ugly 1.16.0-1
gst-python 1.16.0-1
gst-python2 1.16.0-1
gst-transcoder 1.16.0-1
gstreamer 1.16.0-2
gstreamer-vaapi 1.16.0-1
gstreamer0.10 0.10.36-17
gstreamer0.10-bad 0.10.23-38
gstreamer0.10-bad-plugins 0.10.23-38
gstreamer0.10-base 0.10.36-11
